gid,Season Type,Neutral,Date,Away Team,Away Team Long,Home Team,Home Team Long,Away Score,Home Score,Goalie Team,Goalie Team Long,playerId,playerName,toi,gsaX,proj_gsaX
2024020001,2,True,2024-10-04,NJD,New Jersey Devils,BUF,Buffalo Sabres,4,1,BUF,Buffalo Sabres,8480045,Ukko-Pekka Luukkonen,59:05:00,-1.177,-1.2440426
2024020001,2,True,2024-10-04,NJD,New Jersey Devils,BUF,Buffalo Sabres,4,1,NJD,New Jersey Devils,8474593,Jacob Markstrom,59:38:00,2.493,2.1096034
2024020002,2,True,2024-10-05,BUF,Buffalo Sabres,NJD,New Jersey Devils,1,3,NJD,New Jersey Devils,8474596,Jake Allen,60:00:00,1.039,0.7809382
2024020002,2,True,2024-10-05,BUF,Buffalo Sabres,NJD,New Jersey Devils,1,3,BUF,Buffalo Sabres,8482221,Devon Levi,56:46:00,0.656,0.4309528
2024020003,2,False,2024-10-08,STL,St. Louis Blues,SEA,Seattle Kraken,3,2,SEA,Seattle Kraken,8475831,Philipp Grubauer,58:18,-0.446,-0.5760548
2024020003,2,False,2024-10-08,STL,St. Louis Blues,SEA,Seattle Kraken,3,2,STL,St. Louis Blues,8476412,Jordan Binnington,60:0,1.673,1.3602874
2024020004,2,False,2024-10-08,BOS,Boston Bruins,FLA,Florida Panthers,4,6,FLA,Florida Panthers,8475683,Sergei Bobrovsky,60:0,0.483,0.2728654
2024020004,2,False,2024-10-08,BOS,Boston Bruins,FLA,Florida Panthers,4,6,BOS,Boston Bruins,8476914,Joonas Korpisalo,58:11,-0.631,-0.7451078
2024020005,2,False,2024-10-08,CHI,Chicago Blackhawks,UTA,Arizona Coyotes,2,5,UTA,Arizona Coyotes,8478971,Connor Ingram,60:0,0.878,0.6338164
2024020005,2,False,2024-10-08,CHI,Chicago Blackhawks,UTA,Arizona Coyotes,2,5,CHI,Chicago Blackhawks,8475852,Petr Mrazek,58:42,-0.949,-1.0356962
2024020006,2,False,2024-10-09,TOR,Toronto Maple Leafs,MTL,Montréal Canadiens,0,1,MTL,Montréal Canadiens,8478470,Sam Montembeault,60:0,4.995,4.395931
2024020006,2,False,2024-10-09,TOR,Toronto Maple Leafs,MTL,Montréal Canadiens,0,1,TOR,Toronto Maple Leafs,8476932,Anthony Stolarz,57:14,1.905,1.572289
2024020007,2,False,2024-10-09,NYR,New York Rangers,PIT,Pittsburgh Penguins,6,0,PIT,Pittsburgh Penguins,8477465,Tristan Jarry,60:0,0.57,0.352366
2024020007,2,False,2024-10-09,NYR,New York Rangers,PIT,Pittsburgh Penguins,6,0,NYR,New York Rangers,8478048,Igor Shesterkin,60:0,3.265,2.815057
2024020008,2,False,2024-10-09,WPG,Winnipeg Jets,EDM,Edmonton Oilers,6,0,EDM,Edmonton Oilers,8475717,Calvin Pickard,28:52,0.008,-0.1611896
2024020008,2,False,2024-10-09,WPG,Winnipeg Jets,EDM,Edmonton Oilers,6,0,EDM,Edmonton Oilers,8479973,Stuart Skinner,31:8,-3.517,-3.3823346
2024020008,2,False,2024-10-09,WPG,Winnipeg Jets,EDM,Edmonton Oilers,6,0,WPG,Winnipeg Jets,8476945,Connor Hellebuyck,60:0,2.822,2.4102436
2024020009,2,False,2024-10-09,CGY,Calgary Flames,VAN,Vancouver Canucks,6,5,VAN,Vancouver Canucks,8481668,Arturs Silovs,60:37,-3.912,-3.7432856
2024020009,2,False,2024-10-09,CGY,Calgary Flames,VAN,Vancouver Canucks,6,5,CGY,Calgary Flames,8478435,Dan Vladar,61:33,-2.345,-2.311361
2024020010,2,False,2024-10-09,COL,Colorado Avalanche,VGK,Vegas Golden Knights,4,8,VGK,Vegas Golden Knights,8478499,Adin Hill,60:0,-0.242,-0.3896396
2024020010,2,False,2024-10-09,COL,Colorado Avalanche,VGK,Vegas Golden Knights,4,8,COL,Colorado Avalanche,8480382,Alexandar Georgiev,40:0,-3.446,-3.3174548
2024020010,2,False,2024-10-09,COL,Colorado Avalanche,VGK,Vegas Golden Knights,4,8,COL,Colorado Avalanche,8481020,Justus Annunen,15:16,-1.507,-1.5455966
2024020011,2,False,2024-10-10,MTL,Montréal Canadiens,BOS,Boston Bruins,4,6,BOS,Boston Bruins,8480280,Jeremy Swayman,60:00:00,-0.928,-1.0165064
2024020011,2,False,2024-10-10,MTL,Montréal Canadiens,BOS,Boston Bruins,4,6,MTL,Montréal Canadiens,8480051,Cayden Primeau,57:11:00,-2.78,-2.708864
2024020012,2,False,2024-10-10,LAK,Los Angeles Kings,BUF,Buffalo Sabres,3,1,BUF,Buffalo Sabres,8480045,Ukko-Pekka Luukkonen,58:17:00,-0.174,-0.3275012
2024020012,2,False,2024-10-10,LAK,Los Angeles Kings,BUF,Buffalo Sabres,3,1,LAK,Los Angeles Kings,8475311,Darcy Kuemper,59:36:00,3.218,2.7721084
2024020013,2,False,2024-10-10,FLA,Florida Panthers,OTT,Ottawa Senators,1,3,OTT,Ottawa Senators,8476999,Linus Ullmark,60:00:00,1.495,1.197631
2024020013,2,False,2024-10-10,FLA,Florida Panthers,OTT,Ottawa Senators,1,3,FLA,Florida Panthers,8475683,Sergei Bobrovsky,58:34:00,0.045,-0.127379
2024020015,2,False,2024-10-10,TOR,Toronto Maple Leafs,NJD,New Jersey Devils,4,2,NJD,New Jersey Devils,8474593,Jacob Markstrom,58:06:00,-2.18,-2.160584
2024020015,2,False,2024-10-10,TOR,Toronto Maple Leafs,NJD,New Jersey Devils,4,2,TOR,Toronto Maple Leafs,8483710,Dennis Hildeby,59:29:00,0.433,0.2271754
2024020016,2,False,2024-10-10,UTA,Arizona Coyotes,NYI,New York Islanders,5,4,NYI,New York Islanders,8473575,Semyon Varlamov,62:18:00,-1.131,-1.2020078
2024020016,2,False,2024-10-10,UTA,Arizona Coyotes,NYI,New York Islanders,5,4,UTA,Arizona Coyotes,8478971,Connor Ingram,62:18:00,-1.388,-1.4368544
2024020014,2,False,2024-10-10,PIT,Pittsburgh Penguins,DET,Detroit Red Wings,6,3,DET,Detroit Red Wings,8478024,Ville Husso,25:28:00,-2.762,-2.6924156
2024020014,2,False,2024-10-10,PIT,Pittsburgh Penguins,DET,Detroit Red Wings,6,3,DET,Detroit Red Wings,8475660,Cam Talbot,34:32:00,-0.021,-0.1876898
2024020014,2,False,2024-10-10,PIT,Pittsburgh Penguins,DET,Detroit Red Wings,6,3,PIT,Pittsburgh Penguins,8482446,Joel Blomqvist,59:46:00,0.346,0.1476748
2024020017,2,False,2024-10-10,DAL,Dallas Stars,NSH,Nashville Predators,4,3,NSH,Nashville Predators,8475809,Scott Wedgewood,57:04:00,-1.862,-1.8699956
2024020017,2,False,2024-10-10,DAL,Dallas Stars,NSH,Nashville Predators,4,3,DAL,Dallas Stars,8479979,Jake Oettinger,59:19:00,0.691,0.4629358
2024020018,2,False,2024-10-10,CBJ,Columbus Blue Jackets,MIN,Minnesota Wild,2,3,MIN,Minnesota Wild,8479406,Filip Gustavsson,60:00:00,0.841,0.6000058
2024020018,2,False,2024-10-10,CBJ,Columbus Blue Jackets,MIN,Minnesota Wild,2,3,CBJ,Columbus Blue Jackets,8478007,Elvis Merzlikins,58:38:00,-0.697,-0.8054186
2024020019,2,False,2024-10-10,STL,St. Louis Blues,SJS,San Jose Sharks,5,4,SJS,San Jose Sharks,8478406,Mackenzie Blackwood,60:45:00,-1.133,-1.2038354
2024020019,2,False,2024-10-10,STL,St. Louis Blues,SJS,San Jose Sharks,5,4,STL,St. Louis Blues,8480981,Joel Hofer,59:02:00,-1.863,-1.8709094
2024020020,2,False,2024-10-11,TBL,Tampa Bay Lightning,CAR,Carolina Hurricanes,4,1,CAR,Carolina Hurricanes,8475883,Frederik Andersen,58:08:00,0.643,0.4190734
2024020020,2,False,2024-10-11,TBL,Tampa Bay Lightning,CAR,Carolina Hurricanes,4,1,TBL,Tampa Bay Lightning,8476883,Andrei Vasilevskiy,60:00:00,2.518,2.1324484
2024020021,2,False,2024-10-11,CHI,Chicago Blackhawks,WPG,Winnipeg Jets,1,2,WPG,Winnipeg Jets,8476945,Connor Hellebuyck,60:04:00,0.886,0.6411268
2024020021,2,False,2024-10-11,CHI,Chicago Blackhawks,WPG,Winnipeg Jets,1,2,CHI,Chicago Blackhawks,8482821,Arvid Soderblom,60:38:00,1.089,0.8266282
2024020022,2,False,2024-10-11,PHI,Philadelphia Flyers,VAN,Vancouver Canucks,3,2,VAN,Vancouver Canucks,8480947,Kevin Lankinen,65:00:00,0.233,0.0444154
2024020022,2,False,2024-10-11,PHI,Philadelphia Flyers,VAN,Vancouver Canucks,3,2,PHI,Philadelphia Flyers,8481035,Samuel Ersson,65:00:00,0.959,0.7078342
2024020023,2,False,2024-10-11,STL,St. Louis Blues,VGK,Vegas Golden Knights,3,4,VGK,Vegas Golden Knights,8478499,Adin Hill,60:00:00,-0.685,-0.794453
2024020023,2,False,2024-10-11,STL,St. Louis Blues,VGK,Vegas Golden Knights,3,4,STL,St. Louis Blues,8476412,Jordan Binnington,59:22:00,-0.693,-0.8017634
2024020024,2,False,2024-10-12,LAK,Los Angeles Kings,BOS,Boston Bruins,1,2,BOS,Boston Bruins,8480280,Jeremy Swayman,62:42:00,1.483,1.1866654
2024020024,2,False,2024-10-12,LAK,Los Angeles Kings,BOS,Boston Bruins,1,2,LAK,Los Angeles Kings,8475311,Darcy Kuemper,63:07:00,-0.574,-0.6930212
2024020025,2,False,2024-10-12,FLA,Florida Panthers,BUF,Buffalo Sabres,2,5,BUF,Buffalo Sabres,8482221,Devon Levi,60:00:00,-0.014,-0.1812932
2024020025,2,False,2024-10-12,FLA,Florida Panthers,BUF,Buffalo Sabres,2,5,FLA,Florida Panthers,8481519,Spencer Knight,58:09:00,-0.606,-0.7222628
2024020026,2,False,2024-10-12,PIT,Pittsburgh Penguins,TOR,Toronto Maple Leafs,2,4,TOR,Toronto Maple Leafs,8476932,Anthony Stolarz,59:33:00,-0.221,-0.3704498
2024020026,2,False,2024-10-12,PIT,Pittsburgh Penguins,TOR,Toronto Maple Leafs,2,4,PIT,Pittsburgh Penguins,8482446,Joel Blomqvist,58:51:00,-1.014,-1.0950932
2024020027,2,False,2024-10-12,OTT,Ottawa Senators,MTL,Montréal Canadiens,1,4,MTL,Montréal Canadiens,8478470,Sam Montembeault,60:00:00,1.578,1.2734764
2024020027,2,False,2024-10-12,OTT,Ottawa Senators,MTL,Montréal Canadiens,1,4,OTT,Ottawa Senators,8476999,Linus Ullmark,56:21:00,-1.258,-1.3180604
2024020028,2,False,2024-10-12,NSH,Nashville Predators,DET,Detroit Red Wings,0,3,DET,Detroit Red Wings,8475660,Cam Talbot,60:00:00,3.89,3.386182
2024020028,2,False,2024-10-12,NSH,Nashville Predators,DET,Detroit Red Wings,0,3,NSH,Nashville Predators,8477424,Juuse Saros,57:21:00,0.622,0.3998836
2024020030,2,False,2024-10-12,UTA,Arizona Coyotes,NYR,New York Rangers,6,5,NYR,New York Rangers,8478048,Igor Shesterkin,64:02:00,-2.502,-2.4548276
2024020030,2,False,2024-10-12,UTA,Arizona Coyotes,NYR,New York Rangers,6,5,UTA,Arizona Coyotes,8478971,Connor Ingram,64:05:00,-1.316,-1.3710608
2024020031,2,False,2024-10-12,NJD,New Jersey Devils,WSH,Washington Capitals,5,3,WSH,Washington Capitals,8479292,Charlie Lindgren,57:40:00,-1.849,-1.8581162
2024020031,2,False,2024-10-12,NJD,New Jersey Devils,WSH,Washington Capitals,5,3,NJD,New Jersey Devils,8474593,Jacob Markstrom,59:31:00,-0.811,-0.9095918
2024020032,2,False,2024-10-12,NYI,New York Islanders,DAL,Dallas Stars,0,3,DAL,Dallas Stars,8479979,Jake Oettinger,60:00:00,3.084,2.6496592
2024020032,2,False,2024-10-12,NYI,New York Islanders,DAL,Dallas Stars,0,3,NYI,New York Islanders,8473575,Semyon Varlamov,57:03:00,-0.161,-0.3156218
2024020033,2,False,2024-10-12,SEA,Seattle Kraken,MIN,Minnesota Wild,5,4,MIN,Minnesota Wild,8470594,Marc-Andre Fleury,64:34:00,-1.062,-1.1389556
2024020033,2,False,2024-10-12,SEA,Seattle Kraken,MIN,Minnesota Wild,5,4,SEA,Seattle Kraken,8478916,Joey Daccord,64:45:00,-1.157,-1.2257666
2024020034,2,False,2024-10-12,CBJ,Columbus Blue Jackets,COL,Colorado Avalanche,6,4,COL,Colorado Avalanche,8480382,Alexandar Georgiev,21:56,-2.222,-2.1989636
2024020034,2,False,2024-10-12,CBJ,Columbus Blue Jackets,COL,Colorado Avalanche,6,4,COL,Colorado Avalanche,8481020,Justus Annunen,35:53:00,-1.078,-1.1535764
2024020034,2,False,2024-10-12,CBJ,Columbus Blue Jackets,COL,Colorado Avalanche,6,4,CBJ,Columbus Blue Jackets,8480193,Daniil Tarasov,60:00:00,0.027,-0.1438274
2024020035,2,False,2024-10-12,PHI,Philadelphia Flyers,CGY,Calgary Flames,3,6,CGY,Calgary Flames,8481692,Dustin Wolf,59:03:00,-0.112,-0.2708456
2024020035,2,False,2024-10-12,PHI,Philadelphia Flyers,CGY,Calgary Flames,3,6,PHI,Philadelphia Flyers,8478905,Ivan Fedotov,58:36:00,-1.405,-1.452389
2024020036,2,False,2024-10-12,CHI,Chicago Blackhawks,EDM,Edmonton Oilers,5,2,EDM,Edmonton Oilers,8475717,Calvin Pickard,57:32:00,-2.765,-2.695157
2024020036,2,False,2024-10-12,CHI,Chicago Blackhawks,EDM,Edmonton Oilers,5,2,CHI,Chicago Blackhawks,8475852,Petr Mrazek,60:00:00,2.067,1.7203246
2024020037,2,False,2024-10-12,ANA,Anaheim Ducks,SJS,San Jose Sharks,2,0,SJS,San Jose Sharks,8477970,Vitek Vanecek,57:59:00,0.749,0.5159362
2024020037,2,False,2024-10-12,ANA,Anaheim Ducks,SJS,San Jose Sharks,2,0,ANA,Anaheim Ducks,8480843,Lukas Dostal,59:50:00,3.726,3.2363188
2024020038,2,False,2024-10-13,MIN,Minnesota Wild,WPG,Winnipeg Jets,1,2,WPG,Winnipeg Jets,8476945,Connor Hellebuyck,60:50:00,0.881,0.6365578
2024020038,2,False,2024-10-13,MIN,Minnesota Wild,WPG,Winnipeg Jets,1,2,MIN,Minnesota Wild,8479406,Filip Gustavsson,60:51:00,0.559,0.3423142
2024020039,2,False,2024-10-13,SEA,Seattle Kraken,DAL,Dallas Stars,0,2,DAL,Dallas Stars,8479193,Casey DeSmith,59:39:00,2.241,1.8793258
2024020039,2,False,2024-10-13,SEA,Seattle Kraken,DAL,Dallas Stars,0,2,SEA,Seattle Kraken,8475831,Philipp Grubauer,57:40:00,0.765,0.530557
2024020040,2,False,2024-10-13,CGY,Calgary Flames,EDM,Edmonton Oilers,4,1,EDM,Edmonton Oilers,8479973,Stuart Skinner,57:49:00,-0.157,-0.3119666
2024020040,2,False,2024-10-13,CGY,Calgary Flames,EDM,Edmonton Oilers,4,1,CGY,Calgary Flames,8478435,Dan Vladar,60:00:00,1.495,1.197631
2024020041,2,False,2024-10-13,ANA,Anaheim Ducks,VGK,Vegas Golden Knights,1,3,VGK,Vegas Golden Knights,8478492,Ilya Samsonov,60:00:00,2.15,1.79617
2024020041,2,False,2024-10-13,ANA,Anaheim Ducks,VGK,Vegas Golden Knights,1,3,ANA,Anaheim Ducks,8473503,James Reimer,60:00:00,1.944,1.6079272
2024020042,2,False,2024-10-14,FLA,Florida Panthers,BOS,Boston Bruins,4,3,BOS,Boston Bruins,8480280,Jeremy Swayman,58:19:00,-0.954,-1.0402652
2024020042,2,False,2024-10-14,FLA,Florida Panthers,BOS,Boston Bruins,4,3,FLA,Florida Panthers,8475683,Sergei Bobrovsky,60:00:00,-1.363,-1.4140094
2024020043,2,False,2024-10-14,LAK,Los Angeles Kings,OTT,Ottawa Senators,7,8,OTT,Ottawa Senators,8476341,Anton Forsberg,26:15:00,-1.489,-1.5291482
2024020043,2,False,2024-10-14,LAK,Los Angeles Kings,OTT,Ottawa Senators,7,8,OTT,Ottawa Senators,8481544,Mads Sogaard,34:29:00,-1.998,-1.9942724
2024020043,2,False,2024-10-14,LAK,Los Angeles Kings,OTT,Ottawa Senators,7,8,LAK,Los Angeles Kings,8475311,Darcy Kuemper,60:55:00,-4.104,-3.9187352
2024020044,2,False,2024-10-14,UTA,Arizona Coyotes,NJD,New Jersey Devils,0,3,NJD,New Jersey Devils,8474596,Jake Allen,60:00:00,2.039,1.6947382
2024020044,2,False,2024-10-14,UTA,Arizona Coyotes,NJD,New Jersey Devils,0,3,UTA,Arizona Coyotes,8478872,Karel Vejmelka,58:11:00,1.612,1.3045456
2024020045,2,False,2024-10-14,DET,Detroit Red Wings,NYR,New York Rangers,1,4,NYR,New York Rangers,8478048,Igor Shesterkin,59:48:00,1.578,1.2734764
2024020045,2,False,2024-10-14,DET,Detroit Red Wings,NYR,New York Rangers,1,4,DET,Detroit Red Wings,8479312,Alex Lyon,57:47:00,-0.185,-0.337553
2024020046,2,False,2024-10-14,PIT,Pittsburgh Penguins,MTL,Montréal Canadiens,6,3,MTL,Montréal Canadiens,8478470,Sam Montembeault,57:18:00,-0.272,-0.4170536
2024020046,2,False,2024-10-14,PIT,Pittsburgh Penguins,MTL,Montréal Canadiens,6,3,PIT,Pittsburgh Penguins,8477465,Tristan Jarry,60:00:00,0.211,0.0243118
2024020047,2,False,2024-10-14,NYI,New York Islanders,COL,Colorado Avalanche,6,2,COL,Colorado Avalanche,8480382,Alexandar Georgiev,56:38:00,-1.978,-1.9759964
2024020047,2,False,2024-10-14,NYI,New York Islanders,COL,Colorado Avalanche,6,2,NYI,New York Islanders,8478009,Ilya Sorokin,59:52:00,1.17,0.900646
2024020048,2,False,2024-10-15,VAN,Vancouver Canucks,TBL,Tampa Bay Lightning,1,4,TBL,Tampa Bay Lightning,8476883,Andrei Vasilevskiy,60:00:00,3.691,3.2043358
2024020048,2,False,2024-10-15,VAN,Vancouver Canucks,TBL,Tampa Bay Lightning,1,4,VAN,Vancouver Canucks,8481668,Arturs Silovs,59:21:00,0.388,0.1860544
2024020049,2,False,2024-10-15,VGK,Vegas Golden Knights,WSH,Washington Capitals,2,4,WSH,Washington Capitals,8480313,Logan Thompson,59:34:00,0.612,0.3907456
2024020049,2,False,2024-10-15,VGK,Vegas Golden Knights,WSH,Washington Capitals,2,4,VGK,Vegas Golden Knights,8478499,Adin Hill,57:26:00,0.177,-0.0067574
2024020050,2,False,2024-10-15,NJD,New Jersey Devils,CAR,Carolina Hurricanes,2,4,CAR,Carolina Hurricanes,8481611,Pyotr Kochetkov,60:00:00,1.465,1.170217
2024020050,2,False,2024-10-15,NJD,New Jersey Devils,CAR,Carolina Hurricanes,2,4,NJD,New Jersey Devils,8474593,Jacob Markstrom,59:28:00,0.726,0.4949188
2024020051,2,False,2024-10-15,FLA,Florida Panthers,CBJ,Columbus Blue Jackets,4,3,CBJ,Columbus Blue Jackets,8478007,Elvis Merzlikins,55:34:00,-2.863,-2.7847094
2024020051,2,False,2024-10-15,FLA,Florida Panthers,CBJ,Columbus Blue Jackets,4,3,FLA,Florida Panthers,8481519,Spencer Knight,60:00:00,0.494,0.2829172
2024020052,2,False,2024-10-15,MIN,Minnesota Wild,STL,St. Louis Blues,4,1,STL,St. Louis Blues,8476412,Jordan Binnington,59:16:00,-0.301,-0.4435538
2024020052,2,False,2024-10-15,MIN,Minnesota Wild,STL,St. Louis Blues,4,1,MIN,Minnesota Wild,8479406,Filip Gustavsson,60:00:00,2.12,1.768756
2024020053,2,False,2024-10-15,SEA,Seattle Kraken,NSH,Nashville Predators,7,3,NSH,Nashville Predators,8477424,Juuse Saros,57:05:00,-4.187,-3.9945806
2024020053,2,False,2024-10-15,SEA,Seattle Kraken,NSH,Nashville Predators,7,3,SEA,Seattle Kraken,8478916,Joey Daccord,59:46:00,0.107,-0.0707234
2024020054,2,False,2024-10-15,SJS,San Jose Sharks,DAL,Dallas Stars,2,3,DAL,Dallas Stars,8479979,Jake Oettinger,64:32:00,0.78,0.544264
2024020054,2,False,2024-10-15,SJS,San Jose Sharks,DAL,Dallas Stars,2,3,SJS,San Jose Sharks,8478406,Mackenzie Blackwood,65:00:00,2.303,1.9359814
2024020055,2,False,2024-10-15,CHI,Chicago Blackhawks,CGY,Calgary Flames,1,3,CGY,Calgary Flames,8481692,Dustin Wolf,59:32:00,1.193,0.9216634
2024020055,2,False,2024-10-15,CHI,Chicago Blackhawks,CGY,Calgary Flames,1,3,CHI,Chicago Blackhawks,8475852,Petr Mrazek,58:19:00,0.713,0.4830394
2024020056,2,False,2024-10-15,PHI,Philadelphia Flyers,EDM,Edmonton Oilers,3,4,EDM,Edmonton Oilers,8479973,Stuart Skinner,60:32:00,-0.27,-0.415226
2024020056,2,False,2024-10-15,PHI,Philadelphia Flyers,EDM,Edmonton Oilers,3,4,PHI,Philadelphia Flyers,8481035,Samuel Ersson,60:56:00,-1.078,-1.1535764
2024020057,2,False,2024-10-16,BUF,Buffalo Sabres,PIT,Pittsburgh Penguins,5,6,PIT,Pittsburgh Penguins,8482446,Joel Blomqvist,49:0,0.302,0.1074676
2024020057,2,False,2024-10-16,BUF,Buffalo Sabres,PIT,Pittsburgh Penguins,5,6,PIT,Pittsburgh Penguins,8477465,Tristan Jarry,11:33,-2.5,-2.453
2024020057,2,False,2024-10-16,BUF,Buffalo Sabres,PIT,Pittsburgh Penguins,5,6,BUF,Buffalo Sabres,8480045,Ukko-Pekka Luukkonen,61:38,-0.494,-0.6199172
2024020058,2,False,2024-10-16,LAK,Los Angeles Kings,TOR,Toronto Maple Leafs,2,6,TOR,Toronto Maple Leafs,8476932,Anthony Stolarz,60:0,1.337,1.0532506
2024020058,2,False,2024-10-16,LAK,Los Angeles Kings,TOR,Toronto Maple Leafs,2,6,LAK,Los Angeles Kings,8477831,Pheonix Copley,27:29,-0.987,-1.0704206
2024020058,2,False,2024-10-16,LAK,Los Angeles Kings,TOR,Toronto Maple Leafs,2,6,LAK,Los Angeles Kings,8479496,David Rittich,32:22,-3.049,-2.9546762
2024020059,2,False,2024-10-16,BOS,Boston Bruins,COL,Colorado Avalanche,5,3,COL,Colorado Avalanche,8480382,Alexandar Georgiev,57:43,-1.86,-1.868168
2024020059,2,False,2024-10-16,BOS,Boston Bruins,COL,Colorado Avalanche,5,3,BOS,Boston Bruins,8476914,Joonas Korpisalo,60:0,-0.28,-0.424364
2024020060,2,False,2024-10-16,UTA,Arizona Coyotes,ANA,Anaheim Ducks,4,5,ANA,Anaheim Ducks,8480843,Lukas Dostal,60:50,-1.066,-1.1426108
2024020060,2,False,2024-10-16,UTA,Arizona Coyotes,ANA,Anaheim Ducks,4,5,UTA,Arizona Coyotes,8478971,Connor Ingram,60:54,-1.266,-1.3253708
2024020061,2,False,2024-10-17,LAK,Los Angeles Kings,MTL,Montréal Canadiens,4,1,MTL,Montréal Canadiens,8478470,Sam Montembeault,58:5,-0.766,-0.8684708
2024020061,2,False,2024-10-17,LAK,Los Angeles Kings,MTL,Montréal Canadiens,4,1,LAK,Los Angeles Kings,8479496,David Rittich,60:0,1.328,1.0450264
2024020062,2,False,2024-10-17,NJD,New Jersey Devils,OTT,Ottawa Senators,3,1,OTT,Ottawa Senators,8476341,Anton Forsberg,57:50,-0.702,-0.8099876
2024020062,2,False,2024-10-17,NJD,New Jersey Devils,OTT,Ottawa Senators,3,1,NJD,New Jersey Devils,8474593,Jacob Markstrom,60:0,1.395,1.106251
2024020064,2,False,2024-10-17,VGK,Vegas Golden Knights,TBL,Tampa Bay Lightning,3,4,TBL,Tampa Bay Lightning,8476883,Andrei Vasilevskiy,60:0,-1.121,-1.1928698
2024020064,2,False,2024-10-17,VGK,Vegas Golden Knights,TBL,Tampa Bay Lightning,3,4,VGK,Vegas Golden Knights,8478499,Adin Hill,58:43,-0.537,-0.6592106
2024020065,2,False,2024-10-17,VAN,Vancouver Canucks,FLA,Florida Panthers,3,2,FLA,Florida Panthers,8475683,Sergei Bobrovsky,62:9,-0.415,-0.547727
2024020065,2,False,2024-10-17,VAN,Vancouver Canucks,FLA,Florida Panthers,3,2,VAN,Vancouver Canucks,8480947,Kevin Lankinen,62:9,0.605,0.384349
2024020066,2,False,2024-10-17,DAL,Dallas Stars,WSH,Washington Capitals,2,3,WSH,Washington Capitals,8479292,Charlie Lindgren,60:0,0.23,0.0416739999999999
2024020066,2,False,2024-10-17,DAL,Dallas Stars,WSH,Washington Capitals,2,3,DAL,Dallas Stars,8479193,Casey DeSmith,57:57,0.606,0.3852628
2024020067,2,False,2024-10-17,BUF,Buffalo Sabres,CBJ,Columbus Blue Jackets,4,6,CBJ,Columbus Blue Jackets,8480193,Daniil Tarasov,59:51,-1.237,-1.2988706
2024020067,2,False,2024-10-17,BUF,Buffalo Sabres,CBJ,Columbus Blue Jackets,4,6,BUF,Buffalo Sabres,8482221,Devon Levi,57:20,-3.972,-3.7981136
2024020063,2,False,2024-10-17,NYR,New York Rangers,DET,Detroit Red Wings,5,2,DET,Detroit Red Wings,8479312,Alex Lyon,27:32,1.568,1.2643384
2024020063,2,False,2024-10-17,NYR,New York Rangers,DET,Detroit Red Wings,5,2,DET,Detroit Red Wings,8475660,Cam Talbot,32:20,-1.99,-1.986962
2024020063,2,False,2024-10-17,NYR,New York Rangers,DET,Detroit Red Wings,5,2,NYR,New York Rangers,8471734,Jonathan Quick,59:13,1.967,1.6289446
2024020068,2,False,2024-10-17,NYI,New York Islanders,STL,St. Louis Blues,0,1,STL,St. Louis Blues,8480981,Joel Hofer,62:4,2.575,2.184535
2024020068,2,False,2024-10-17,NYI,New York Islanders,STL,St. Louis Blues,0,1,NYI,New York Islanders,8478009,Ilya Sorokin,62:4,1.545,1.243321
2024020069,2,False,2024-10-17,EDM,Edmonton Oilers,NSH,Nashville Predators,4,2,NSH,Nashville Predators,8477424,Juuse Saros,57:59,0.394,0.1915372
2024020069,2,False,2024-10-17,EDM,Edmonton Oilers,NSH,Nashville Predators,4,2,EDM,Edmonton Oilers,8475717,Calvin Pickard,59:54,0.0969999999999999,-0.0798614
2024020070,2,False,2024-10-17,SJS,San Jose Sharks,CHI,Chicago Blackhawks,2,4,CHI,Chicago Blackhawks,8475852,Petr Mrazek,59:56,0.289,0.0955882000000001
2024020070,2,False,2024-10-17,SJS,San Jose Sharks,CHI,Chicago Blackhawks,2,4,SJS,San Jose Sharks,8477970,Vitek Vanecek,56:11,0.0049999999999998,-0.163931
2024020071,2,False,2024-10-17,PHI,Philadelphia Flyers,SEA,Seattle Kraken,4,6,SEA,Seattle Kraken,8475831,Philipp Grubauer,59:45,-1.418,-1.4642684
2024020071,2,False,2024-10-17,PHI,Philadelphia Flyers,SEA,Seattle Kraken,4,6,PHI,Philadelphia Flyers,8481035,Samuel Ersson,15:18,-0.605,-0.721349
2024020071,2,False,2024-10-17,PHI,Philadelphia Flyers,SEA,Seattle Kraken,4,6,PHI,Philadelphia Flyers,8478905,Ivan Fedotov,40:0,-2.481,-2.4356378
2024020072,2,False,2024-10-18,CAR,Carolina Hurricanes,PIT,Pittsburgh Penguins,4,1,PIT,Pittsburgh Penguins,8482446,Joel Blomqvist,60:0,2.291,1.9250158
2024020072,2,False,2024-10-18,CAR,Carolina Hurricanes,PIT,Pittsburgh Penguins,4,1,CAR,Carolina Hurricanes,8475883,Frederik Andersen,59:29,2.897,2.4787786
2024020073,2,False,2024-10-18,SJS,San Jose Sharks,WPG,Winnipeg Jets,3,8,WPG,Winnipeg Jets,8476945,Connor Hellebuyck,59:16,-0.815,-0.913247
2024020073,2,False,2024-10-18,SJS,San Jose Sharks,WPG,Winnipeg Jets,3,8,SJS,San Jose Sharks,8478406,Mackenzie Blackwood,21:46,-3.494,-3.3613172
