gid,Season Type,Neutral,Date,Team,Team Long,isHome,Away Team,Away Team Long,Home Team,Home Team Long,Away Score,Home Score,5on5 Flurry Xgoals,5on5 goals,5on4 Flurry Xgoals,5on4 goals,4on5 Flurry Xgoals,4on5 goals,opp_5on5 Flurry Xgoals,opp_5on5 goals,opp_5on4 Flurry Xgoals,opp_5on4 goals,opp_4on5 Flurry Xgoals,opp_4on5 goals,EV_home_goals,PP_home_goals,SH_home_goals,EV_away_goals,PP_away_goals,SH_away_goals
2024020001,2,True,2024-10-04,BUF,Buffalo Sabres,True,NJD,New Jersey Devils,BUF,Buffalo Sabres,4,1,2.378,1.0,0.917,0.0,0.0,0.0,1.58,3.0,0.027,0.0,0.191,0.0,1.0,0.0,0.0,4.0,0.0,0.0
2024020002,2,True,2024-10-05,NJD,New Jersey Devils,True,BUF,Buffalo Sabres,NJD,New Jersey Devils,1,3,2.665,2.0,0.846,1.0,0.104,0.0,1.327,1.0,0.01,0.0,0.053,0.0,2.0,1.0,0.0,1.0,0.0,0.0
2024020003,2,False,2024-10-08,SEA,Seattle Kraken,True,STL,St. Louis Blues,SEA,Seattle Kraken,3,2,3.178,2.0,0.291,0.0,0.0,0.0,1.783,2.0,0.726,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
2024020004,2,False,2024-10-08,FLA,Florida Panthers,True,BOS,Boston Bruins,FLA,Florida Panthers,4,6,4.107,5.0,1.08,0.0,0.048,1.0,2.475,2.0,1.166,1.0,0.112,1.0,5.0,0.0,1.0,2.0,1.0,1.0
2024020005,2,False,2024-10-08,UTA,Arizona Coyotes,True,CHI,Chicago Blackhawks,UTA,Arizona Coyotes,2,5,2.6,4.0,0.154,0.0,0.219,0.0,2.625,2.0,0.0269999999999999,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
2024020006,2,False,2024-10-09,MTL,Montréal Canadiens,True,TOR,Toronto Maple Leafs,MTL,Montréal Canadiens,0,1,1.417,0.0,1.19,1.0,0.054,0.0,3.668,0.0,0.079,0.0,0.113,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024020007,2,False,2024-10-09,PIT,Pittsburgh Penguins,True,NYR,New York Rangers,PIT,Pittsburgh Penguins,6,0,2.617,0.0,0.576,0.0,0.0,0.0,3.909,5.0,0.023,0.0,0.261,1.0,0.0,0.0,0.0,5.0,0.0,1.0
2024020008,2,False,2024-10-09,EDM,Edmonton Oilers,True,WPG,Winnipeg Jets,EDM,Edmonton Oilers,6,0,2.265,0.0,0.252,0.0,0.182,0.0,1.386,4.0,1.043,2.0,0.01,0.0,0.0,0.0,0.0,4.0,2.0,0.0
2024020009,2,False,2024-10-09,VAN,Vancouver Canucks,True,CGY,Calgary Flames,VAN,Vancouver Canucks,6,5,2.111,2.0,0.424,2.0,0.005,0.0,1.166,3.0,0.417,1.0,0.17,1.0,3.0,2.0,0.0,4.0,1.0,1.0
2024020010,2,False,2024-10-09,VGK,Vegas Golden Knights,True,COL,Colorado Avalanche,VGK,Vegas Golden Knights,4,8,1.507,5.0,0.525,2.0,0.0,0.0,1.987,3.0,0.615,1.0,0.0,0.0,6.0,2.0,0.0,3.0,1.0,0.0
